source,target
987,668
964,779
844,562
942,790
852,729
863,607
690,724
957,761
921,560
630,880
898,548
983,928
778,616
857,750
566,572
620,685
622,635
603,611
759,914
874,723
810,914
757,791
877,661
810,851
523,667
920,721
822,627
563,885
846,892
836,868
832,837
553,575
648,966
503,707
928,866
939,734
720,557
525,926
766,914
627,858
631,982
907,860
629,853
668,514
792,976
569,973
536,719
547,904
749,916
592,872
580,520
796,600
516,566
722,741
989,907
873,778
669,985
593,668
565,792
873,943
804,544
818,830
674,794
506,876
698,735
865,622
625,590
630,863
570,776
545,536
679,793
679,997
680,686
871,950
874,579
618,664
844,886
525,535
871,666
995,912
571,679
931,591
778,863
615,708
899,580
727,856
719,926
847,885
563,582
580,513
653,553
788,985
570,584
916,633
741,605
759,977
917,800
645,797
596,505
707,761
801,822
873,870
874,926
681,699
698,658
594,973
863,590
561,901
856,799
842,686
596,549
825,720
596,510
796,604
932,641
534,858
714,559
839,644
677,747
653,952
681,501
714,902
964,645
710,932
854,854
703,751
625,652
584,568
535,742
960,919
842,904
739,632
753,747
525,905
596,521
885,992
995,989
572,817
588,718
778,1000
671,615
610,857
679,527
718,987
923,643
571,542
982,604
762,697
640,974
840,743
534,538
562,662
541,986
563,711
768,709
920,787
834,714
739,759
762,540
604,573
650,991
545,632
749,707
888,699
768,918
722,613
626,566
870,929
955,615
502,982
520,798
791,595
553,542
657,708
757,506
976,669
502,628
852,521
579,618
938,652
942,816
788,742
654,935
955,706
631,889
547,575
862,645
527,707
560,831
630,890
770,965
675,697
875,552
989,543
719,806
681,847
681,735
998,967
541,858
749,664
856,776
625,888
710,503
900,966
714,617
948,889
981,547
844,502
933,988
525,702
753,717
674,999
970,561
580,506
534,808
718,565
796,504
668,600
680,687
571,501
587,547
800,993
669,709
671,968
650,934
669,941
907,854
920,769
606,847
892,608
796,910
625,533
500,788
753,707
600,955
755,733
949,779
989,807
502,654
527,856
885,545
533,840
594,802
510,893
503,827
517,614
826,681
675,817
969,697
694,524
668,704
842,917
525,950
877,500
727,792
502,941
928,656
995,545
885,888
553,593
598,930
911,903
920,943
982,864
654,937
822,652
650,615
632,635
665,731
976,961
578,577
877,868
570,853
707,873
986,684
870,913
874,872
510,897
685,865
603,909
675,646
753,741
777,583
945,786
862,528
999,898
588,755
822,637
818,883
536,897
847,879
830,777
769,581
630,593
508,537
804,806
563,953
583,976
760,884
753,966
977,938
632,916
839,835
970,596
516,909
521,932
580,915
911,706
584,601
928,692
547,569
947,675
749,859
601,891
630,627
810,677
674,533
746,912
911,891
864,656
932,603
502,852
857,731
592,739
942,976
718,853
623,565
928,886
525,574
593,778
942,808
571,627
815,848
570,901
559,994
617,949
504,510
929,866
801,654
826,913
634,750
791,575
596,841
826,612
584,707
819,777
541,871
618,566
881,917
957,984
657,810
623,616
533,820
707,545
596,951
887,525
674,975
881,787
851,930
788,618
799,512
594,911
856,557
777,590
593,950
617,762
825,840
563,828
653,759
951,753
781,921
900,556
806,977
755,585
590,578
870,605
862,876
859,899
685,558
942,979
516,962
837,611
594,928
654,953
788,812
574,544
962,500
504,853
969,880
722,639
977,880
794,635
947,503
995,958
822,619
959,892
624,917
909,554
689,616
557,976
769,814
650,628
947,879
707,752
981,861
696,975
508,593
696,706
983,689
559,552
525,610
598,952
926,526
541,791
676,767
694,868
714,740
669,999
752,733
768,879
987,962
548,946
644,669
627,910
911,575
727,941
562,829
960,995
568,878
531,969
989,529
842,504
645,509
970,898
903,863
598,980
928,730
600,775
583,533
611,954
839,609
508,545
888,927
720,865
719,814
685,893
664,825
618,579
675,668
826,762
759,693
918,916
627,778
920,776
679,976
854,709
966,896
791,812
581,667
584,542
810,756
510,710
874,630
710,694
868,727
541,798
516,742
679,730
593,673
933,833
759,913
762,605
815,885
926,710
658,883
868,796
962,716
987,559
865,657
596,950
733,505
859,803
871,936
622,702
525,699
584,978
585,614
548,517
613,789
892,626
755,625
566,774
668,635
535,797
503,958
625,707
931,735
606,773
638,557
